,행정동_코드,행정동_코드_명,서비스_업종_코드,서비스_업종_코드_명,점포_수,유사_업종_점포_수,프랜차이즈_점포_수,연간_개업_수_합,연간_폐업_수_합,2024_연평균_유동인구,영역_면적,점포_증감률,경쟁도_지수,업종_면적_밀도,점포당_유동인구,전망_등급
18,11110530,사직동,CS100009,호프-간이주점,100,111,11,4,6,3894957.75,1158536,-0.02,1.0,86.31583308589461,38949.5775,주의
19,11110530,사직동,CS100010,커피-음료,177,221,44,35,28,3894957.75,1158536,0.03954802259887006,1.0,152.77902456203347,22005.411016949154,보통
20,11110540,삼청동,CS100001,한식음식점,72,75,3,8,4,964643.5,1479255,0.05555555555555555,1.0,48.673149659794966,13397.826388888889,보통
21,11110540,삼청동,CS100002,중식음식점,3,3,0,0,1,964643.5,1479255,-0.3333333333333333,1.0,2.028047902491457,321547.8333333333,주의
22,11110540,삼청동,CS100003,일식음식점,8,8,0,2,2,964643.5,1479255,0.0,1.0,5.4081277399772185,120580.4375,보통
23,11110540,삼청동,CS100004,양식음식점,38,38,0,0,8,964643.5,1479255,-0.21052631578947367,1.0,25.688606764891787,25385.355263157893,주의
24,11110540,삼청동,CS100005,제과점,14,14,0,2,1,964643.5,1479255,0.07142857142857142,1.0,9.464223544960133,68903.10714285714,보통
25,11110540,삼청동,CS100006,패스트푸드점,6,9,3,0,0,964643.5,1479255,0.0,1.0,4.056095804982914,160773.91666666666,보통
26,11110540,삼청동,CS100007,치킨전문점,0,2,2,0,1,964643.5,1479255,-inf,0.0,0.0,inf,주의
27,11110540,삼청동,CS100008,분식전문점,16,21,5,4,3,964643.5,1479255,0.0625,1.0,10.816255479954437,60290.21875,보통
28,11110540,삼청동,CS100009,호프-간이주점,13,15,2,1,1,964643.5,1479255,0.0,1.0,8.78820757746298,74203.34615384616,보통
29,11110540,삼청동,CS100010,커피-음료,91,103,12,12,10,964643.5,1479255,0.02197802197802198,1.0,61.51745304224086,10600.478021978022,보통
30,11110550,부암동,CS100001,한식음식점,30,32,2,2,2,970805.0,2274739,0.0,1.0,13.188326221162077,32360.166666666668,보통
31,11110550,부암동,CS100002,중식음식점,7,7,0,1,0,970805.0,2274739,0.14285714285714285,1.0,3.0772761182711514,138686.42857142858,보통
32,11110550,부암동,CS100003,일식음식점,3,4,1,1,0,970805.0,2274739,0.3333333333333333,1.0,1.3188326221162077,323601.6666666667,보통
33,11110550,부암동,CS100004,양식음식점,10,10,0,1,1,970805.0,2274739,0.0,1.0,4.396108740387359,97080.5,보통
34,11110550,부암동,CS100005,제과점,13,13,0,1,2,970805.0,2274739,-0.07692307692307693,1.0,5.714941362503566,74677.30769230769,주의
35,11110550,부암동,CS100006,패스트푸드점,6,8,2,1,1,970805.0,2274739,0.0,1.0,2.6376652442324153,161800.83333333334,보통
36,11110550,부암동,CS100007,치킨전문점,1,2,1,0,0,970805.0,2274739,0.0,1.0,0.4396108740387359,970805.0,전망 좋음
37,11110550,부암동,CS100008,분식전문점,8,11,3,1,1,970805.0,2274739,0.0,1.0,3.516886992309887,121350.625,보통
38,11110550,부암동,CS100009,호프-간이주점,7,7,0,0,1,970805.0,2274739,-0.14285714285714285,1.0,3.0772761182711514,138686.42857142858,주의
39,11110550,부암동,CS100010,커피-음료,39,43,4,4,6,970805.0,2274739,-0.05128205128205128,1.0,17.1448240875107,24892.4358974359,주의
40,11110560,평창동,CS100001,한식음식점,50,55,5,9,4,837818.5,8947328,0.1,1.0,5.588260539906439,16756.37,보통
41,11110560,평창동,CS100002,중식음식점,1,1,0,0,1,837818.5,8947328,-1.0,1.0,0.11176521079812878,837818.5,주의
42,11110560,평창동,CS100003,일식음식점,3,4,1,2,1,837818.5,8947328,0.3333333333333333,1.0,0.3352956323943863,279272.8333333333,보통
43,11110560,평창동,CS100004,양식음식점,8,8,0,1,2,837818.5,8947328,-0.125,1.0,0.8941216863850302,104727.3125,주의
44,11110560,평창동,CS100005,제과점,6,8,2,0,1,837818.5,8947328,-0.16666666666666666,1.0,0.6705912647887726,139636.41666666666,주의
45,11110560,평창동,CS100006,패스트푸드점,3,6,3,0,1,837818.5,8947328,-0.3333333333333333,1.0,0.3352956323943863,279272.8333333333,주의
46,11110560,평창동,CS100007,치킨전문점,0,2,2,0,0,837818.5,8947328,0.0,0.0,0.0,inf,전망 좋음
47,11110560,평창동,CS100008,분식전문점,8,11,3,1,1,837818.5,8947328,0.0,1.0,0.8941216863850302,104727.3125,보통
48,11110560,평창동,CS100009,호프-간이주점,18,21,3,2,4,837818.5,8947328,-0.1111111111111111,1.0,2.011773794366318,46545.47222222222,주의
49,11110560,평창동,CS100010,커피-음료,23,28,5,7,5,837818.5,8947328,0.08695652173913043,1.0,2.5705998483569616,36426.891304347824,보통
50,11110570,무악동,CS100001,한식음식점,8,9,1,0,1,1803698.5,369520,-0.125,1.0,21.649707728945657,225462.3125,주의
51,11110570,무악동,CS100002,중식음식점,1,1,0,0,0,1803698.5,369520,0.0,1.0,2.706213466118207,1803698.5,전망 좋음
52,11110570,무악동,CS100003,일식음식점,2,2,0,0,0,1803698.5,369520,0.0,1.0,5.412426932236414,901849.25,전망 좋음
53,11110570,무악동,CS100004,양식음식점,1,1,0,0,0,1803698.5,369520,0.0,1.0,2.706213466118207,1803698.5,전망 좋음
54,11110570,무악동,CS100005,제과점,1,4,3,0,0,1803698.5,369520,0.0,1.0,2.706213466118207,1803698.5,전망 좋음
55,11110570,무악동,CS100006,패스트푸드점,0,1,1,0,0,1803698.5,369520,0.0,0.0,0.0,inf,전망 좋음
56,11110570,무악동,CS100007,치킨전문점,2,3,1,0,1,1803698.5,369520,-0.5,1.0,5.412426932236414,901849.25,주의
57,11110570,무악동,CS100008,분식전문점,4,5,1,0,0,1803698.5,369520,0.0,1.0,10.824853864472828,450924.625,보통
58,11110570,무악동,CS100009,호프-간이주점,3,3,0,0,0,1803698.5,369520,0.0,1.0,8.118640398354621,601232.8333333334,전망 좋음
59,11110570,무악동,CS100010,커피-음료,5,11,6,1,2,1803698.5,369520,-0.2,1.0,13.531067330591036,360739.7,주의
60,11110580,교남동,CS100001,한식음식점,22,27,5,3,3,3996531.25,346926,0.0,1.0,63.41409983685281,181660.51136363635,보통
61,11110580,교남동,CS100002,중식음식점,2,4,2,0,0,3996531.25,346926,0.0,1.0,5.76491816698662,1998265.625,전망 좋음
62,11110580,교남동,CS100003,일식음식점,3,5,2,0,0,3996531.25,346926,0.0,0.9999999999999999,8.647377250479929,1332177.0833333333,전망 좋음
63,11110580,교남동,CS100004,양식음식점,6,6,0,1,0,3996531.25,346926,0.16666666666666666,1.0,17.294754500959858,666088.5416666666,보통
64,11110580,교남동,CS100005,제과점,3,12,9,0,0,3996531.25,346926,0.0,1.0,8.647377250479929,1332177.0833333333,전망 좋음
65,11110580,교남동,CS100006,패스트푸드점,1,10,9,2,3,3996531.25,346926,-1.0,1.0,2.88245908349331,3996531.25,주의
66,11110580,교남동,CS100007,치킨전문점,2,7,5,2,2,3996531.25,346926,0.0,1.0,5.76491816698662,1998265.625,전망 좋음
67,11110580,교남동,CS100008,분식전문점,11,14,3,1,0,3996531.25,346926,0.09090909090909091,1.0,31.707049918426407,363321.0227272727,보통
68,11110580,교남동,CS100009,호프-간이주점,3,3,0,0,1,3996531.25,346926,-0.3333333333333333,1.0,8.647377250479929,1332177.0833333333,주의
69,11110580,교남동,CS100010,커피-음료,13,27,14,1,1,3996531.25,346926,0.0,0.9999999999999998,37.471968085413025,307425.48076923075,보통
70,11110600,가회동,CS100001,한식음식점,72,83,11,11,15,1259482.0,539955,-0.05555555555555555,0.9999999999999999,133.34444537044754,17492.805555555555,주의
71,11110600,가회동,CS100002,중식음식점,1,1,0,1,1,1259482.0,539955,0.0,1.0,1.8520061857006604,1259482.0,전망 좋음
72,11110600,가회동,CS100003,일식음식점,10,11,1,3,1,1259482.0,539955,0.2,1.0,18.520061857006603,125948.2,보통
73,11110600,가회동,CS100004,양식음식점,29,30,1,3,7,1259482.0,539955,-0.13793103448275862,1.0,53.70817938531915,43430.41379310345,주의
74,11110600,가회동,CS100005,제과점,13,13,0,2,2,1259482.0,539955,0.0,1.0,24.076080414108585,96883.23076923077,보통
75,11110600,가회동,CS100006,패스트푸드점,7,10,3,0,0,1259482.0,539955,0.0,1.0,12.964043299904622,179926.0,보통
76,11110600,가회동,CS100007,치킨전문점,3,4,1,0,0,1259482.0,539955,0.0,1.0,5.556018557101981,419827.3333333333,보통
77,11110600,가회동,CS100008,분식전문점,12,15,3,1,1,1259482.0,539955,0.0,1.0,22.224074228407925,104956.83333333333,보통
78,11110600,가회동,CS100009,호프-간이주점,12,12,0,1,1,1259482.0,539955,0.0,1.0,22.224074228407925,104956.83333333333,보통
79,11110600,가회동,CS100010,커피-음료,81,89,8,13,10,1259482.0,539955,0.037037037037037035,1.0,150.0125010417535,15549.160493827161,보통
80,11110615,종로1·2·3·4가동,CS100001,한식음식점,985,1091,106,178,106,13973571.0,2417171,0.07309644670050762,1.0,407.50116561881634,14186.36649746193,보통
81,11110615,종로1·2·3·4가동,CS100002,중식음식점,62,74,12,11,14,13973571.0,2417171,-0.04838709677419355,1.0,25.649819561793517,225380.17741935485,주의
82,11110615,종로1·2·3·4가동,CS100003,일식음식점,96,111,15,21,18,13973571.0,2417171,0.03125,1.0,39.71584964406738,145558.03125,보통
83,11110615,종로1·2·3·4가동,CS100004,양식음식점,146,163,17,23,21,13973571.0,2417171,0.0136986301369863,1.0,60.40118800035248,95709.3904109589,보통
84,11110615,종로1·2·3·4가동,CS100005,제과점,55,68,13,7,11,13973571.0,2417171,-0.07272727272727272,1.0,22.753872191913604,254064.92727272728,주의
85,11110615,종로1·2·3·4가동,CS100006,패스트푸드점,43,66,23,6,10,13973571.0,2417171,-0.09302325581395349,1.0,17.78939098640518,324966.76744186046,주의
86,11110615,종로1·2·3·4가동,CS100007,치킨전문점,12,35,23,3,5,13973571.0,2417171,-0.16666666666666666,1.0,4.964481205508423,1164464.25,주의
87,11110615,종로1·2·3·4가동,CS100008,분식전문점,118,145,27,25,25,13973571.0,2417171,0.0,1.0,48.817398520832825,118420.09322033898,보통
88,11110615,종로1·2·3·4가동,CS100009,호프-간이주점,344,371,27,43,63,13973571.0,2417171,-0.05813953488372093,0.9999999999999999,142.31512789124145,40620.84593023256,주의
89,11110615,종로1·2·3·4가동,CS100010,커피-음료,379,478,99,59,68,13973571.0,2417171,-0.023746701846965697,1.0,156.794864740641,36869.58047493404,주의
90,11110630,종로5·6가동,CS100001,한식음식점,258,274,16,26,26,5812475.25,603167,0.0,1.0,427.7422339086853,22528.9738372093,보통
91,11110630,종로5·6가동,CS100002,중식음식점,9,11,2,1,2,5812475.25,603167,-0.1111111111111111,1.0000000000000002,14.921240717744837,645830.5833333334,주의
92,11110630,종로5·6가동,CS100003,일식음식점,17,20,3,1,1,5812475.25,603167,0.0,1.0,28.184565800184693,341910.3088235294,보통
93,11110630,종로5·6가동,CS100004,양식음식점,6,7,1,0,0,5812475.25,603167,0.0,1.0,9.947493811829892,968745.875,전망 좋음
94,11110630,종로5·6가동,CS100005,제과점,12,16,4,3,2,5812475.25,603167,0.08333333333333333,1.0,19.894987623659784,484372.9375,보통
95,11110630,종로5·6가동,CS100006,패스트푸드점,5,9,4,0,1,5812475.25,603167,-0.2,1.0,8.289578176524909,1162495.05,주의
96,11110630,종로5·6가동,CS100007,치킨전문점,11,18,7,0,0,5812475.25,603167,0.0,1.0,18.2370719883548,528406.8409090909,보통
97,11110630,종로5·6가동,CS100008,분식전문점,30,35,5,5,6,5812475.25,603167,-0.03333333333333333,1.0,49.737469059149454,193749.175,주의
98,11110630,종로5·6가동,CS100009,호프-간이주점,51,53,2,3,8,5812475.25,603167,-0.09803921568627451,1.0,84.55369740055407,113970.10294117648,주의
99,11110630,종로5·6가동,CS100010,커피-음료,82,109,27,16,11,5812475.25,603167,0.06097560975609756,1.0,135.94908209500852,70883.84451219512,보통
100,11110640,이화동,CS100001,한식음식점,80,95,15,22,22,4408730.25,782395,0.0,1.0,102.25014219160398,55109.128125,보통
101,11110640,이화동,CS100002,중식음식점,12,16,4,0,2,4408730.25,782395,-0.16666666666666666,1.0,15.337521328740598,367394.1875,주의
102,11110640,이화동,CS100003,일식음식점,13,17,4,3,5,4408730.25,782395,-0.15384615384615385,1.0,16.615648106135648,339133.0961538461,주의
103,11110640,이화동,CS100004,양식음식점,26,32,6,2,5,4408730.25,782395,-0.11538461538461539,1.0,33.231296212271296,169566.54807692306,주의
104,11110640,이화동,CS100005,제과점,19,25,6,5,1,4408730.25,782395,0.21052631578947367,1.0,24.284408770505948,232038.43421052632,보통
105,11110640,이화동,CS100006,패스트푸드점,11,22,11,1,3,4408730.25,782395,-0.18181818181818182,1.0,14.059394551345548,400793.6590909091,주의
106,11110640,이화동,CS100007,치킨전문점,2,6,4,0,0,4408730.25,782395,0.0,1.0,2.5562535547901,2204365.125,전망 좋음
107,11110640,이화동,CS100008,분식전문점,23,31,8,5,1,4408730.25,782395,0.17391304347826086,1.0,29.396915880086148,191683.9239130435,보통
108,11110640,이화동,CS100009,호프-간이주점,19,22,3,2,3,4408730.25,782395,-0.05263157894736842,1.0,24.284408770505948,232038.43421052632,주의
109,11110640,이화동,CS100010,커피-음료,84,116,32,14,9,4408730.25,782395,0.05952380952380952,1.0,107.36264930118419,52484.88392857143,보통
110,11110650,혜화동,CS100001,한식음식점,185,218,33,35,21,9021101.25,1132421,0.07567567567567568,1.0,163.3668043951852,48762.70945945946,보통
111,11110650,혜화동,CS100002,중식음식점,36,39,3,8,3,9021101.25,1132421,0.1388888888888889,1.0,31.790297071495498,250586.14583333334,보통
112,11110650,혜화동,CS100003,일식음식점,32,43,11,13,9,9021101.25,1132421,0.125,1.0,28.25804184132933,281909.4140625,보통
113,11110650,혜화동,CS100004,양식음식점,57,60,3,11,10,9021101.25,1132421,0.017543859649122806,0.9999999999999999,50.33463702986787,158264.93421052632,보통
114,11110650,혜화동,CS100005,제과점,13,18,5,2,1,9021101.25,1132421,0.07692307692307693,1.0,11.479829498040042,693930.8653846154,전망 좋음
115,11110650,혜화동,CS100006,패스트푸드점,15,31,16,6,4,9021101.25,1132421,0.13333333333333333,0.9999999999999999,13.245957113123124,601406.75,전망 좋음
116,11110650,혜화동,CS100007,치킨전문점,4,16,12,0,3,9021101.25,1132421,-0.75,1.0,3.5322552301661663,2255275.3125,주의
117,11110650,혜화동,CS100008,분식전문점,39,51,12,12,8,9021101.25,1132421,0.10256410256410256,1.0,34.43948849412012,231310.28846153847,보통
118,11110650,혜화동,CS100009,호프-간이주점,79,86,7,4,17,9021101.25,1132421,-0.16455696202531644,1.0,69.76204079578179,114191.15506329114,주의
119,11110650,혜화동,CS100010,커피-음료,118,148,30,18,26,9021101.25,1132421,-0.06779661016949153,0.9999999999999999,104.20152928990191,76450.01059322034,주의
120,11110670,창신1동,CS100001,한식음식점,105,107,2,25,10,2758838.75,305337,0.14285714285714285,0.9999999999999999,343.8823332907574,26274.654761904763,보통
121,11110670,창신1동,CS100002,중식음식점,15,15,0,0,1,2758838.75,305337,-0.06666666666666667,1.0,49.126047612965344,183922.58333333334,주의
122,11110670,창신1동,CS100003,일식음식점,3,6,3,2,0,2758838.75,305337,0.6666666666666666,1.0,9.825209522593068,919612.9166666666,전망 좋음
123,11110670,창신1동,CS100004,양식음식점,17,17,0,0,4,2758838.75,305337,-0.23529411764705882,1.0,55.67618729469405,162284.63235294117,주의
124,11110670,창신1동,CS100005,제과점,5,6,1,3,2,2758838.75,305337,0.2,1.0,16.375349204321783,551767.75,전망 좋음
125,11110670,창신1동,CS100006,패스트푸드점,4,6,2,0,1,2758838.75,305337,-0.25,1.0,13.100279363457425,689709.6875,주의
126,11110670,창신1동,CS100007,치킨전문점,8,14,6,0,2,2758838.75,305337,-0.25,1.0,26.20055872691485,344854.84375,주의
127,11110670,창신1동,CS100008,분식전문점,17,20,3,6,3,2758838.75,305337,0.17647058823529413,1.0,55.67618729469405,162284.63235294117,보통
128,11110670,창신1동,CS100009,호프-간이주점,21,23,2,2,5,2758838.75,305337,-0.14285714285714285,1.0,68.77646665815148,131373.27380952382,주의
129,11110670,창신1동,CS100010,커피-음료,23,30,7,4,3,2758838.75,305337,0.043478260869565216,1.0,75.32660633988019,119949.51086956522,보통
130,11110680,창신2동,CS100001,한식음식점,73,76,3,16,12,4933499.0,257323,0.0547945205479452,0.9999999999999999,283.6901481795253,67582.17808219178,보통
131,11110680,창신2동,CS100002,중식음식점,3,3,0,0,0,4933499.0,257323,0.0,1.0,11.658499240254464,1644499.6666666667,전망 좋음
132,11110680,창신2동,CS100003,일식음식점,1,1,0,0,0,4933499.0,257323,0.0,1.0,3.886166413418155,4933499.0,전망 좋음
133,11110680,창신2동,CS100004,양식음식점,12,12,0,1,2,4933499.0,257323,-0.08333333333333333,1.0,46.63399696101786,411124.9166666667,주의
134,11110680,창신2동,CS100005,제과점,3,4,1,1,1,4933499.0,257323,0.0,1.0,11.658499240254464,1644499.6666666667,전망 좋음
135,11110680,창신2동,CS100006,패스트푸드점,2,2,0,0,0,4933499.0,257323,0.0,1.0,7.77233282683631,2466749.5,전망 좋음
136,11110680,창신2동,CS100007,치킨전문점,1,4,3,0,3,4933499.0,257323,-3.0,1.0,3.886166413418155,4933499.0,주의
137,11110680,창신2동,CS100008,분식전문점,7,8,1,1,2,4933499.0,257323,-0.14285714285714285,1.0,27.203164893927084,704785.5714285715,주의
138,11110680,창신2동,CS100009,호프-간이주점,14,16,2,3,6,4933499.0,257323,-0.21428571428571427,1.0,54.40632978785417,352392.78571428574,주의
139,11110680,창신2동,CS100010,커피-음료,15,16,1,7,7,4933499.0,257323,0.0,1.0,58.29249620127233,328899.93333333335,보통
140,11110690,창신3동,CS100001,한식음식점,7,9,2,1,1,1143377.5,216835,0.0,0.9999999999999999,32.282611202066086,163339.64285714287,보통
141,11110690,창신3동,CS100002,중식음식점,1,1,0,0,0,1143377.5,216835,0.0,1.0,4.611801600295156,1143377.5,전망 좋음
142,11110690,창신3동,CS100004,양식음식점,6,6,0,0,0,1143377.5,216835,0.0,1.0,27.67080960177093,190562.91666666666,보통
143,11110690,창신3동,CS100005,제과점,1,2,1,1,0,1143377.5,216835,1.0,1.0,4.611801600295156,1143377.5,전망 좋음
144,11110690,창신3동,CS100007,치킨전문점,2,5,3,0,0,1143377.5,216835,0.0,1.0,9.223603200590311,571688.75,전망 좋음
145,11110690,창신3동,CS100008,분식전문점,2,2,0,0,1,1143377.5,216835,-0.5,1.0,9.223603200590311,571688.75,주의
146,11110690,창신3동,CS100009,호프-간이주점,2,2,0,1,0,1143377.5,216835,0.5,1.0,9.223603200590311,571688.75,전망 좋음
147,11110690,창신3동,CS100010,커피-음료,6,7,1,0,0,1143377.5,216835,0.0,1.0,27.67080960177093,190562.91666666666,보통
148,11110700,숭인1동,CS100001,한식음식점,19,22,3,4,2,2088848.25,239396,0.10526315789473684,1.0,79.3664054537252,109939.38157894737,보통
149,11110700,숭인1동,CS100002,중식음식점,1,1,0,0,0,2088848.25,239396,0.0,1.0,4.17717923440659,2088848.25,전망 좋음
150,11110700,숭인1동,CS100003,일식음식점,1,1,0,0,0,2088848.25,239396,0.0,1.0,4.17717923440659,2088848.25,전망 좋음
151,11110700,숭인1동,CS100004,양식음식점,2,2,0,1,0,2088848.25,239396,0.5,1.0,8.35435846881318,1044424.125,전망 좋음
152,11110700,숭인1동,CS100005,제과점,2,2,0,1,1,2088848.25,239396,0.0,1.0,8.35435846881318,1044424.125,전망 좋음
153,11110700,숭인1동,CS100006,패스트푸드점,1,3,2,0,0,2088848.25,239396,0.0,1.0,4.17717923440659,2088848.25,전망 좋음
154,11110700,숭인1동,CS100007,치킨전문점,1,3,2,0,2,2088848.25,239396,-2.0,1.0,4.17717923440659,2088848.25,주의
155,11110700,숭인1동,CS100008,분식전문점,2,4,2,0,1,2088848.25,239396,-0.5,1.0,8.35435846881318,1044424.125,주의
156,11110700,숭인1동,CS100009,호프-간이주점,5,6,1,0,1,2088848.25,239396,-0.2,1.0,20.88589617203295,417769.65,주의
157,11110700,숭인1동,CS100010,커피-음료,3,8,5,3,5,2088848.25,239396,-0.6666666666666666,1.0,12.53153770321977,696282.75,주의
158,11110710,숭인2동,CS100001,한식음식점,86,98,12,19,12,5521878.25,351906,0.08139534883720931,1.0,244.38344330588282,64207.88662790698,보통
159,11110710,숭인2동,CS100002,중식음식점,5,5,0,1,1,5521878.25,351906,0.0,1.0,14.20833972708621,1104375.65,전망 좋음
160,11110710,숭인2동,CS100003,일식음식점,2,6,4,2,0,5521878.25,351906,1.0,1.0,5.683335890834484,2760939.125,전망 좋음
161,11110710,숭인2동,CS100004,양식음식점,4,5,1,1,1,5521878.25,351906,0.0,1.0,11.366671781668968,1380469.5625,전망 좋음
162,11110710,숭인2동,CS100005,제과점,4,8,4,0,1,5521878.25,351906,-0.25,1.0,11.366671781668968,1380469.5625,주의
163,11110710,숭인2동,CS100006,패스트푸드점,2,5,3,0,0,5521878.25,351906,0.0,1.0,5.683335890834484,2760939.125,전망 좋음
164,11110710,숭인2동,CS100007,치킨전문점,4,11,7,0,2,5521878.25,351906,-0.5,1.0,11.366671781668968,1380469.5625,주의
165,11110710,숭인2동,CS100008,분식전문점,22,24,2,2,2,5521878.25,351906,0.0,0.9999999999999999,62.51669479917933,250994.4659090909,보통
166,11110710,숭인2동,CS100009,호프-간이주점,21,23,2,2,3,5521878.25,351906,-0.047619047619047616,1.0,59.675026853762084,262946.5833333333,주의
167,11110710,숭인2동,CS100010,커피-음료,15,27,12,3,8,5521878.25,351906,-0.3333333333333333,1.0,42.62501918125863,368125.2166666667,주의
168,11140520,소공동,CS100001,한식음식점,289,337,48,41,33,2764694.25,943795,0.02768166089965398,0.9999999999999999,306.2105647942615,9566.416089965398,보통
169,11140520,소공동,CS100002,중식음식점,32,41,9,4,7,2764694.25,943795,-0.09375,1.0,33.90566807410507,86396.6953125,주의
170,11140520,소공동,CS100003,일식음식점,42,55,13,3,14,2764694.25,943795,-0.2619047619047619,1.0,44.50118934726291,65826.05357142857,주의
171,11140520,소공동,CS100004,양식음식점,43,51,8,5,9,2764694.25,943795,-0.09302325581395349,0.9999999999999999,45.56074147457869,64295.21511627907,주의
172,11140520,소공동,CS100005,제과점,41,52,11,3,3,2764694.25,943795,0.0,1.0,43.441637219947125,67431.56707317074,보통
173,11140520,소공동,CS100006,패스트푸드점,12,24,12,3,3,2764694.25,943795,0.0,1.0,12.714625527789403,230391.1875,보통
174,11140520,소공동,CS100007,치킨전문점,2,9,7,0,2,2764694.25,943795,-1.0,1.0,2.119104254631567,1382347.125,주의
175,11140520,소공동,CS100008,분식전문점,34,44,10,9,12,2764694.25,943795,-0.08823529411764706,1.0,36.02477232873664,81314.53676470589,주의
176,11140520,소공동,CS100009,호프-간이주점,38,41,3,2,1,2764694.25,943795,0.02631578947368421,1.0,40.26298083799978,72755.11184210527,보통
177,11140520,소공동,CS100010,커피-음료,120,180,60,23,24,2764694.25,943795,-0.008333333333333333,1.0,127.14625527789403,23039.11875,주의
178,11140540,회현동,CS100001,한식음식점,229,263,34,30,16,4477341.0,897827,0.0611353711790393,1.0000000000000002,255.06027330432255,19551.707423580785,보통
179,11140540,회현동,CS100002,중식음식점,26,33,7,6,8,4477341.0,897827,-0.07692307692307693,0.9999999999999999,28.95880832276151,172205.42307692306,주의
180,11140540,회현동,CS100003,일식음식점,28,33,5,5,3,4477341.0,897827,0.07142857142857142,1.0,31.186408962973935,159905.0357142857,보통
181,11140540,회현동,CS100004,양식음식점,28,34,6,2,7,4477341.0,897827,-0.17857142857142858,0.9999999999999999,31.186408962973935,159905.0357142857,주의
182,11140540,회현동,CS100005,제과점,24,45,21,2,4,4477341.0,897827,-0.08333333333333333,1.0,26.731207682549087,186555.875,주의
183,11140540,회현동,CS100006,패스트푸드점,6,21,15,3,7,4477341.0,897827,-0.6666666666666666,1.0,6.682801920637272,746223.5,주의
184,11140540,회현동,CS100007,치킨전문점,4,10,6,0,2,4477341.0,897827,-0.5,1.0,4.4552012804248475,1119335.25,주의
185,11140540,회현동,CS100008,분식전문점,55,69,14,3,6,4477341.0,897827,-0.05454545454545454,0.9999999999999999,61.259017605841656,81406.2,주의
186,11140540,회현동,CS100009,호프-간이주점,21,23,2,0,3,4477341.0,897827,-0.14285714285714285,1.0,23.38980672223045,213206.7142857143,주의
187,11140540,회현동,CS100010,커피-음료,106,142,36,27,14,4477341.0,897827,0.12264150943396226,1.0,118.06283393125847,42239.06603773585,보통
188,11140550,명동,CS100001,한식음식점,456,534,78,90,62,5658385.25,969729,0.06140350877192982,1.0,470.2344675677432,12408.739583333334,보통
